Security Code,Security Id,Security Name,Group,Face Value,ISIN No,Industry
501391,WHBRADY,W.H.BRADY & CO.LTD.,X ,10,INE855A01019,Comm.Trading  & Distribution
501421,TECHNVISN,TECHNVISION VENTURES LTD.,XT,10,INE314H01012,IT Software Products
501423,SHAILY,SHAILY ENGINEERING PLASTICS LTD.,X ,10,INE151G01010,Plastic Products
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,A ,2,INE050A01025,Tea & Coffee
501430,BOMBCYC,BOMBAY CYCLE & MOTOR AGENCY LTD.,X ,10,INE691K01017,Comm.Trading  & Distribution
501455,GREAVESCOT,GREAVES COTTON LTD.,A ,2,INE224A01026,Industrial Machinery
501477,MULLER,MULLER & PHIPPS (INDIA) LTD.,XT,10,INE003F01015,Comm.Trading  & Distribution
501622,AMALGAM,AMALGAMATED ELECTRICITY CO.LTD.,XT,5,INE492N01022,Diversified Commercial Services
501630,ANANDPROJ,Anand Projects Ltd,XT,10,INE134R01013,Construction & Engineering
501700,INDIANVSH,INDIANIVESH LTD.,X ,1,INE131H01028,Finance (including NBFCs)
501831,COASTCORP,COASTAL CORPORATION LTD.,X ,10,INE377E01016,Packaged Foods
501833,CHOWGULSTM,CHOWGULE STEAMSHIPS LTD.,XT,10,INE490A01015,Shipping
501848,GLOBOFFS,GLOBAL OFFSHORE SERVICES LTD.-$,B ,10,INE446C01013,Shipping
501945,DHENUBUILD,DHENU BUILDCON INFRA LTD.,X ,1,INE758D01027,Finance (including NBFCs)
502015,ASIIL,ASI Industries Ltd,X ,1,INE443A01030,Mining
502090,SAGCEM,SAGAR CEMENTS LTD.-$,B ,10,INE229C01013,Cement & Cement Products
502137,DECCANCE,DECCAN CEMENTS LTD.-$,B ,5,INE583C01021,Cement & Cement Products
502157,MANGLMCEM,MANGALAM CEMENT LTD.,B ,10,INE347A01017,Cement & Cement Products
502168,NCLIND,NCL INDUSTRIES LTD.-$,B ,10,INE732C01016,Cement & Cement Products
502175,SAURASHCEM,SAURASHTRA CEMENT LTD.,X ,10,INE626A01014,Cement & Cement Products
502180,SHREDIGCEM,SHREE DIGVIJAY CEMENT CO.LTD.-$,B ,10,INE232A01011,Cement & Cement Products
502216,BOMBPOT,BOMBAY POTTERIES & TILES LTD.,ZP,100,INE06AE01018,Realty
502219,BORORENEW,Borosil Renewables Ltd,B ,1,INE666D01022,Houseware
502250,LERTHAI,Lerthai Finance Ltd,XT,10,INE347D01011,Construction Materials
502281,TRIVENIGQ,TRIVENI GLASS LTD.-$,XT,10,INE094C01011,Construction Materials
502294,NILACHAL,NILACHAL REFRACTORIES LTD.,X ,10,INE416N01013,Construction Materials
502330,ANDHRAPAP,Andhra Paper Ltd,B ,10,INE435A01028,Paper & Paper Products
502355,BALKRISIND,BALKRISHNA INDUSTRIES LTD.-$,A ,2,INE787D01026,Auto Tyres & Rubber Products
502420,ORIENTPPR,ORIENT PAPER & INDUSTRIES LTD.,B ,1,INE592A01026,Paper & Paper Products
502445,CITADEL,CITADEL REALTY AND DEVELOPERS LTD.,X ,10,INE906D01014,Realty
502448,ROLLT,ROLLATAINERS LTD.,T ,1,INE927A01040,Containers & Packaging
502450,SESHAPAPER,SESHASAYEE PAPER & BOARDS LTD.,B ,2,INE630A01024,Paper & Paper Products
502460,SOLIDCO,SOLID CONTAINERS LTD.,X ,10,INE134U01017,Paper & Paper Products
502563,SHBHAWPA,SHREE BHAWANI PAPER MILLS LTD.,Z ,10,INE688C01010,Paper & Paper Products
502587,NATHIND,Nath Industries Ltd,X ,10,INE777A01023,Paper & Paper Products
502589,VAPIPPR,VAPI PAPER MILLS LTD.,XT,10,INE464D01014,Paper & Paper Products
502742,SINTEX,SINTEX INDUSTRIES LTD.,T ,1,INE429C01035,Textiles
502820,DCM,DCM LTD.,B ,10,INE498A01018,Other Industrial Products
502850,ZGAEKWAR,GAEKWAR MILLS LTD.,XT,10,INE837X01027,Textiles
502865,FORBESCO,FORBES & COMPANY LTD.-$,B ,10,INE518A01013,Industrial Machinery
502873,HPCOTTON,H.P.COTTON TEXTILE MILLS LTD.,X ,10,INE950C01014,Textiles
502893,UNITEDINT,UNITED INTERACTIVE LTD.,X ,10,INE706D01018,Internet Software & Services
